TaxaID	superkingdom	phylum	class	order	family	genus	species	unique	Prevalence	FistQuantile	Median	Mean	ThirdQuantile	Max
182773	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium isatidis	182773	0.05	0	0	2.7572130346167e-05	0	0.0020599443815017
649756	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	649756	0.222727272727273	0	0	0.00121227431949275	0	0.0489699875688155
39950	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister pneumosintes	39950	0.222727272727273	0	0	0.00129990303247237	0	0.0290538484940675
2582419	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister hominis	2582419	0.186363636363636	0	0	0.000401930377669706	0	0.0113098369279327
2161821	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister massiliensis	2161821	0.204545454545455	0	0	0.00129626439889428	0	0.0485632666778693
411470	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] gnavus	411470	0.209090909090909	0	0	0.000923521792806428	0	0.0216262158844083
2564099	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus bovis	2564099	0.154545454545455	0	0	0.00168598625537507	0	0.0380249716231555
105841	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae	105841	0.127272727272727	0	0	4.70706731579548e-05	0	0.00162613644763101
562	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	562	0.518181818181818	0	0.000237150974061157	0.0320573537249866	0.0110162888356681	0.766821345707657
1898203	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae bacterium	1898203	0.181818181818182	0	0	0.00205506974970409	0	0.0986590038314176
515620	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospira	Lachnospira eligens	515620	0.136363636363636	0	0	0.000616172526400517	0	0.0191505992704534
515619	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	[Eubacterium] rectale	515619	0.0954545454545455	0	0	6.96783273404626e-05	0	0.00885064535955747
47878	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas azotoformans	47878	0.0545454545454545	0	0	3.58245520771256e-05	0	0.00199468085106383
2507162	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Caproiciproducens	Caproiciproducens sp. NJN-50	2507162	0.127272727272727	0	0	0.000206430585969587	0	0.00648929266709929
2109690	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae bacterium Choco86	2109690	0.140909090909091	0	0	0.000859418690213725	0	0.0293020777836974
623	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella flexneri	623	0.259090909090909	0	0	0.000721750210776687	7.5735538054837e-05	0.0172080433101315
2585117	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii	2585117	0.0636363636363636	0	0	3.79535969595778e-05	0	0.00191570881226054
114527	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales Family XIII. Incertae Sedis	Mogibacterium	Mogibacterium diversum	114527	0.322727272727273	0	0	0.00699395205046345	0.00379803452786807	0.105928940710593
347253	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	347253	0.45	0	0	0.00422189618929913	0.00212518511735282	0.152055701009869
2086584	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Massilistercora	Massilistercora timonensis	2086584	0.140909090909091	0	0	0.000270673585299781	0	0.00717725942015299
200	Bacteria	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter curvus	200	0.0863636363636364	0	0	0.000114390902174641	0	0.00397614314115308
2724150	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Romboutsia	Romboutsia sp. CE17	2724150	0.209090909090909	0	0	0.00027052336814245	0	0.00636285468615649
697329	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus albus	697329	0.1	0	0	0.000125444122905329	0	0.00501514004542014
185007	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Pseudobutyrivibrio	Pseudobutyrivibrio xylanivorans	185007	0.131818181818182	0	0	0.000180378693239279	0	0.00718390804597701
2107999	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus paragasseri	2107999	0.0772727272727273	0	0	0.000305727579973775	0	0.0247920997920998
28037	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis	28037	0.668181818181818	0	0.0111688403730933	0.0417173021941077	0.0432094529226249	0.34256233877902
128780	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas acidaminiphila	128780	0.0954545454545455	0	0	8.99846352872741e-05	0	0.00681736634373879
1834198	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillospiraceae_unclassified	Hungateiclostridiaceae bacterium KB18	1834198	0.0909090909090909	0	0	7.75231735262321e-05	0	0.00208441896821261
84032	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Pseudoclostridium	Pseudoclostridium thermosuccinogenes	84032	0.0681818181818182	0	0	4.71198761341929e-05	0	0.00350549193736854
394503	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminiclostridium	Ruminiclostridium cellulolyticum	394503	0.0681818181818182	0	0	1.55854001788815e-05	0	0.000467398924982473
301301	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia hominis	301301	0.186363636363636	0	0	0.000455966619843192	0	0.0114100515006216
553973	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium] hylemonae	553973	0.122727272727273	0	0	0.000267486704889545	0	0.0139850825785828
2690380	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sp. JM1	2690380	0.0772727272727273	0	0	5.18086408313662e-05	0	0.00198807157057654
40215	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter junii	40215	0.0363636363636364	0	0	6.89657387602768e-05	0	0.00700661736084079
33035	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia producta	33035	0.218181818181818	0	0	0.00124575848012552	0	0.0358259510161542
1550024	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruthenibacterium	Ruthenibacterium lactatiformans	1550024	0.140909090909091	0	0	0.000977242747382152	0	0.0307816602706524
1308	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus thermophilus	1308	0.481818181818182	0	0	0.00338045498546921	0.00202914454717881	0.062144597887896
1871021	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium phocaeense	1871021	0.122727272727273	0	0	0.000249862561216346	0	0.00803587284674125
1870984	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus mediterraneensis	1870984	0.240909090909091	0	0	0.00231563834184798	0	0.048347311297484
283734	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus pseudintermedius	283734	0.322727272727273	0	0	0.000355378854390448	0.000153756077452068	0.00858652575957728
239935	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	239935	0.05	0	0	0.00035296976785455	0	0.063595068137573
536231	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia intestinalis	536231	0.222727272727273	0	0	0.000988063897051153	0	0.0229483426196997
2109687	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillibacter	Oscillibacter sp. PEA192	2109687	0.0818181818181818	0	0	0.000155169814907454	0	0.015372589890568
1343	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus vestibularis	1343	0.377272727272727	0	0	0.00362745225315019	0.000659048784015998	0.26070429606254
610130	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lacrimispora	Lacrimispora saccharolytica	610130	0.204545454545455	0	0	0.000362164766179286	0	0.00822273514137334
33040	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus milleri	33040	0.277272727272727	0	0	0.00256978166566112	0.000131831250160325	0.0589455488331893
246787	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus	246787	0.05	0	0	4.23957776584974e-05	0	0.00260389542755963
470	Bacteria	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	470	0.168181818181818	0	0	0.00022576882382594	0	0.0185719784449577
435590	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola vulgatus	435590	0.1	0	0	0.000239805830090325	0	0.00938967136150235
1458465	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera elsdenii	1458465	0.218181818181818	0	0	0.00100080073901686	0	0.0390628155928095
2664291	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella sp. HNK130	2664291	0.236363636363636	0	0	0.000576874086924603	0	0.0150812064965197
299767	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter ludwigii	299767	0.213636363636364	0	0	0.000223132737732966	0	0.0103806228373702
1282	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	1282	0.563636363636364	0	0.000377284832941055	0.0114041546472416	0.00946386781690408	0.328349282296651
565651	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	565651	0.163636363636364	0	0	0.00051223544882566	0	0.0317072105516006
29388	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus capitis	29388	0.272727272727273	0	0	0.000907421673699222	0.000160842669941032	0.0277777777777778
2585118	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes communis	2585118	0.0181818181818182	0	0	1.36411334588943e-05	0	0.00105337078651685
2144175	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera stantonii	2144175	0.195454545454545	0	0	0.000583423540026056	0	0.0109380178985747
1834196	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium sp. YL32	1834196	0.213636363636364	0	0	0.000256804979497652	0	0.00425652667423383
158836	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter hormaechei	158836	0.295454545454545	0	0	0.00100379155090567	0.000229154652847003	0.0552147239263804
626937	Bacteria	Bacillota	Clostridia	Eubacteriales	Christensenellaceae	Christensenella	Christensenella minuta	626937	0.0545454545454545	0	0	4.70121032290051e-05	0	0.00297956867196368
742737	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Hungatella	Hungatella hathewayi	742737	0.163636363636364	0	0	0.000208527948227261	0	0.00612298071912454
29380	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus caprae	29380	0.409090909090909	0	0	0.000529790969417117	0.000479514518949891	0.0146531100478469
208479	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	208479	0.172727272727273	0	0	0.000370038881841578	0	0.0200790994828111
2109688	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Eubacteriales_unclassified	Clostridiales bacterium CCNA10	2109688	0.0818181818181818	0	0	0.000106134841429482	0	0.00558289174867525
1328	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus	1328	0.263636363636364	0	0	0.00192709651933332	9.06310381340631e-05	0.0561036587005027
38289	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium jeikeium	38289	0.0318181818181818	0	0	3.50651037231297e-05	0	0.00607066427916321
1351755	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium chauvoei	1351755	0.05	0	0	3.55644781754054e-05	0	0.00236893603872695
39778	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella dispar	39778	0.390909090909091	0	0	0.0032325721375669	0.00112633946118704	0.0666593334066659
29466	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella parvula	29466	0.468181818181818	0	0	0.0174857990636826	0.0129745566209187	0.383030194427023
74426	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	74426	0.0636363636363636	0	0	6.24421248643919e-05	0	0.00477581455421976
1596	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	1596	0.113636363636364	0	0	0.00109845848136433	0	0.0706319702602231
1352	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium	1352	0.336363636363636	0	0	0.000423993270086659	0.000216886729134324	0.0115945805106826
2585119	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes dispar	2585119	0.0409090909090909	0	0	4.25205683084333e-05	0	0.00648929266709929
1303	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus oralis	1303	0.645454545454546	0	0.00318204800682653	0.0156874531015662	0.0204145008152703	0.175179888069646
712633	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp. oral taxon 431	712633	0.677272727272727	0	0.00634332439091862	0.0223540801496656	0.0293439705953235	0.19640644361834
371601	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens	371601	0.0409090909090909	0	0	3.10788792918014e-05	0	0.0042174320524836
2109692	Bacteria	Bacillota	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_unclassified	Erysipelotrichaceae bacterium GAM147	2109692	0.0590909090909091	0	0	4.62795940334505e-05	0	0.00288243771875643
1194971	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus salivarius	1194971	0.05	0	0	0.000261739729321401	0	0.0243265993265993
1283	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus haemolyticus	1283	0.409090909090909	0	0	0.000772720137342836	0.00048169917266503	0.0250990752972259
29459	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Brucellaceae	Brucella	Brucella melitensis	29459	0.0863636363636364	0	0	4.36525095603562e-05	0	0.00258143822987093
29347	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoclostridium	[Clostridium] scindens	29347	0.131818181818182	0	0	0.000336389591367582	0	0.0108603267541789
358	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	358	0.0545454545454545	0	0	0.000104768093708348	0	0.0102564102564103
428406	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii	428406	0.236363636363636	0	0	0.000929158364075919	0	0.0407005426739023
1433513	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gwangjuense	1433513	0.559090909090909	0	0.000325322047348234	0.00477024501913051	0.00514476865702225	0.156090396234603
1280	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	1280	0.577272727272727	0	0.000382246056958956	0.00387418063449223	0.00226098382597653	0.121202113606341
89152	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptacetobacter	Peptacetobacter hiranonis	89152	0.236363636363636	0	0	0.00123656773246084	0	0.0334507042253521
679935	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii	679935	0.0181818181818182	0	0	4.60045828066306e-06	0	0.000351123595505618
1379	Bacteria	Bacillota	Bacilli	Bacillales	Bacillales_unclassified	Gemella	Gemella haemolysans	1379	0.422727272727273	0	0	0.00859848670344165	0.00876677694138878	0.158819172574331
2610895	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Flintibacter	Flintibacter sp. KGMB00164	2610895	0.136363636363636	0	0	0.000353483386442111	0	0.0191434133679429
991789	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerotignum	Anaerotignum propionicum	991789	0.0545454545454545	0	0	8.82435153835197e-05	0	0.00597383870635493
98228	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. OxB-1	98228	0.145454545454545	0	0	0.000232709065548636	0	0.015702108568865
433286	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Anaerocolumna	Anaerocolumna cellulosilytica	433286	0.145454545454545	0	0	7.44687452596374e-05	0	0.00158445565608973
2109691	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae bacterium GAM79	2109691	0.140909090909091	0	0	0.000491207854959046	0	0.0208441896821261
720554	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio clariflavus	720554	0.0863636363636364	0	0	3.6938730232428e-05	0	0.00160543960713948
621	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella boydii	621	0.25	0	0	0.000476472500405541	5.63185678563651e-06	0.0131477184841454
1297617	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriales_unclassified	Intestinimonas	Intestinimonas butyriciproducens	1297617	0.118181818181818	0	0	0.00047658451161706	0	0.0762491888384166
1912856	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus sp. ING2-D1G	1912856	0.0954545454545455	0	0	0.000395721225935309	0	0.0258780036968577
1825069	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus marmotae	1825069	0.231818181818182	0	0	0.0001843466090018	0	0.00846302804274546
76857	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium polymorphum	76857	0.286363636363636	0	0	0.00366787160820727	0.000312007317731355	0.0675960021041557
1296	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus sciuri	1296	0.0409090909090909	0	0	0.000317911522750037	0	0.0655021834061135
1852373	Bacteria	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Murdochiella	Murdochiella vaginalis	1852373	0.109090909090909	0	0	0.00195957231391013	0	0.0812436748004048
292800	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Flavonifractor	Flavonifractor plautii	292800	0.131818181818182	0	0	0.000446623912558254	0	0.0317975340687865
712710	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	Tannerella serpentiformis	712710	0.0909090909090909	0	0	9.70740340906446e-05	0	0.0076608784473953
1812935	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter roggenkampii	1812935	0.259090909090909	0	0	0.00029394944171167	4.22848818237427e-05	0.00628306878306878
29343	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Oscillospiraceae_unclassified	[Clostridium] cellulosi	29343	0.0863636363636364	0	0	2.92634967180344e-05	0	0.00109147609147609
1398	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Weizmannia	Weizmannia coagulans	1398	0.0590909090909091	0	0	0.000128735087780497	0	0.00900900900900901
102684	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantarius	102684	0.145454545454545	0	0	0.000163671168665514	0	0.0102960102960103
617123	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum umeaense	617123	0.204545454545455	0	0	0.000848114231957418	0	0.0577355229040622
1911586	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Marinilactibacillus	Marinilactibacillus sp. 15R	1911586	0.0772727272727273	0	0	3.87967580955746e-05	0	0.00388026607538803
762982	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	Paraprevotella xylaniphila	762982	0.0454545454545455	0	0	1.77034722649385e-05	0	0.0017283950617284
1679721	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	Herbinix	Herbinix luporum	1679721	0.186363636363636	0	0	8.4618611699775e-05	0	0.00169359041167275
36874	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas cangingivalis	36874	0.122727272727273	0	0	7.61963325822549e-05	0	0.00648929266709929
1294	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus muscae	1294	0.0272727272727273	0	0	7.73199255711952e-06	0	0.000598086124401914
2093856	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	Butyricimonas faecalis	2093856	0.0272727272727273	0	0	8.37092898999056e-06	0	0.000740740740740741
28035	Bacteria	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus lugdunensis	28035	0.209090909090909	0	0	0.000205359233095815	0	0.0053584359160029
28132	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica	28132	0.218181818181818	0	0	0.0058342022996115	0	0.234417344173442
158877	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Yokenella	Yokenella regensburgei	158877	0.109090909090909	0	0	5.85529591813292e-05	0	0.00173010380622837
368607	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	Janthinobacterium svalbardensis	368607	0.204545454545455	0	0	0.000178855308247749	0	0.00569259962049336
729	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parainfluenzae	729	0.372727272727273	0	0	0.0122440153488723	0.00582578617959495	0.310889856876167
511691	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	511691	0.15	0	0	0.00145212864412997	0	0.0909811116207313
85404	Bacteria	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Mannheimia varigena	85404	0.127272727272727	0	0	4.62292922314223e-05	0	0.00162613644763101
47883	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas synxantha	47883	0.0454545454545455	0	0	2.20950877506545e-05	0	0.0019872813990461
1042156	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium sp. SY8519	1042156	0.131818181818182	0	0	0.000115201415692489	0	0.00516693163751987
1505	Bacteria	Bacillota	Clostridia	Eubacteriales	Peptostreptococcaceae	Paeniclostridium	Paeniclostridium sordellii	1505	0.2	0	0	0.000216258147504979	0	0.00534941953107216
946333	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Rhizobacter	Rhizobacter gummiphilus	946333	0.277272727272727	0	0	0.000877282647789464	0.00017028134338409	0.0313725490196078
29394	Bacteria	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Dolosigranulum	Dolosigranulum pigrum	29394	0.0318181818181818	0	0	1.48908752854459e-05	0	0.0016629711751663
